,ID,Name,Date,Time,Event,Status,Latitude,Longitude,MaximumWind,MAX_CAT
21918,AL011950,ABLE,19500821,1600,L, HU,44.6N,63.7W,65,TS
21981,AL021950,BAKER,19500831,300,L, HU,30.2N,88.0W,75,CAT 1
21982,AL021950,BAKER,19500831,400,L, HU,30.7N,87.9W,75,CAT 1
22133,AL051950,EASY,19500903,100,L, HU,21.5N,82.6W,70,TS
22135,AL051950,EASY,19500903,700,L, HU,22.7N,82.3W,80,CAT 1
22145,AL051950,EASY,19500905,1700,L, HU,29.1N,82.8W,105,CAT 2
22148,AL051950,EASY,19500906,400,L, HU,28.5N,82.7W,90,CAT 1
22271,AL091950,ITEM,19501011,400,L, HU,18.9N,95.9W,90,CAT 1
22317,AL111950,KING,19501016,2200,L, HU,20.9N,78.3W,80,CAT 1
22323,AL111950,KING,19501018,500,L, HU,25.7N,80.2W,115,CAT 3
22470,AL021951,ABLE,19510518,1200,L, HU,27.0N,77.9W,75,CAT 1
22536,AL041951,CHARLIE,19510818,300,L, HU,17.9N,76.9W,110,CAT 2
22545,AL041951,CHARLIE,19510820,200,L, HU,20.3N,87.0W,115,CAT 3
22546,AL041951,CHARLIE,19510820,300,L, HU,20.4N,87.3W,115,CAT 3
22558,AL041951,CHARLIE,19510822,1900,L, HU,22.3N,97.8W,100,CAT 2
22899,AL021952,ABLE,19520831,300,L, HU,32.3N,80.6W,85,CAT 1
23100,AL101952,FOX,19521024,1800,L, HU,22.0N,80.9W,125,CAT 3
23108,AL101952,FOX,19521026,1000,L, HU,24.7N,76.2W,75,CAT 1
23110,AL101952,FOX,19521026,1500,L, HU,24.5N,75.6W,75,CAT 1
23227,AL031953,BARBARA,19530814,300,L, HU,35.0N,76.1W,80,CAT 1
23228,AL031953,BARBARA,19530814,500,L, HU,35.4N,76.1W,75,CAT 1
23230,AL031953,BARBARA,19530814,900,L, HU,36.1N,75.9W,70,TS
23284,AL041953,CAROL,19530907,2000,L, HU,44.2N,66.4W,75,CAT 1
23285,AL041953,CAROL,19530907,2200,L, HU,45.3N,65.8W,70,TS
23405,AL091953,FLORENCE,19530926,1500,L, HU,30.3N,86.2W,80,CAT 1
23481,AL121953,HAZEL,19531009,1500,L, HU,26.7N,82.2W,75,CAT 1
23482,AL121953,HAZEL,19531009,1600,L, HU,26.7N,82.1W,75,CAT 1
23583,AL031954,ALICE,19540625,1400,L, HU,25.0N,97.6W,95,CAT 1
23645,AL061954,CAROL,19540831,1400,L, HU,40.9N,72.2W,100,CAT 2
23646,AL061954,CAROL,19540831,1500,L, HU,41.3N,72.0W,100,CAT 2
23696,AL081954,EDNA,19540911,1830,L, HU,41.4N,70.5W,95,CAT 1
23697,AL081954,EDNA,19540911,1900,L, HU,41.7N,70.3W,95,CAT 1
23698,AL081954,EDNA,19540911,1930,L, HU,41.9N,70.1W,90,CAT 1
23814,AL141954,HAZEL,19541006,0,L, HU,12.2N,61.6W,65,TS
23840,AL141954,HAZEL,19541012,900,L, HU,18.3N,74.2W,105,CAT 2
23843,AL141954,HAZEL,19541013,0,L, HU,19.6N,73.4W,85,CAT 1
23846,AL141954,HAZEL,19541013,1400,L, HU,21.0N,73.1W,85,CAT 1
23855,AL141954,HAZEL,19541015,1530,L, HU,33.9N,78.6W,115,CAT 3
23947,AL021955,CONNIE,19550812,1500,L, HU,34.7N,76.7W,85,CAT 1
24139,AL071955,GLADYS,19550905,2200,L, HU,23.1N,97.8W,65,TS
24181,AL081955,IONE,19550919,1100,L, HU,34.7N,76.7W,90,CAT 1
24222,AL091955,HILDA,19550913,2100,L, HU,20.2N,74.2W,70,TS
24228,AL091955,HILDA,19550915,300,L, HU,19.3N,81.2W,65,TS
24235,AL091955,HILDA,19550916,1400,L, HU,19.7N,87.7W,105,CAT 2
24247,AL091955,HILDA,19550919,1100,L, HU,22.3N,97.9W,105,CAT 2
24258,AL101955,JANET,19550923,0,L, HU,12.6N,61.4W,90,CAT 1
24278,AL101955,JANET,19550927,1700,L, HU,17.4N,83.9W,140,CAT 4
24281,AL101955,JANET,19550928,500,L, HU,18.4N,87.8W,150,CAT 4
24288,AL101955,JANET,19550929,1800,L, HU,19.8N,96.4W,95,CAT 1
24342,AL131955,KATIE,19551017,500,L, HU,18.0N,71.7W,95,CAT 1
24360,AL161954,ALICE,19550102,2100,L, HU,18.0N,63.0W,65,TS
24394,AL021956,ANNA,19560726,2100,L, HU,21.7N,97.5W,75,CAT 1
24524,AL071956,FLOSSY,19560924,1000,L, HU,29.1N,89.4W,75,CAT 1
24527,AL071956,FLOSSY,19560925,0,L, HU,30.4N,86.4W,80,CAT 1
